order_item_id,order_id,product_id,quantity,unit_price,total_price
1,1,34,2,4746.98,9493.96
2,2,61,1,1973.95,1973.95
3,2,29,4,2982.45,11929.8
4,3,35,4,4829.88,19319.52
5,3,31,3,3057.35,9172.05
6,3,38,2,533.48,1066.96
7,3,3,2,3673.37,7346.74
8,4,28,1,2595.46,2595.46
9,4,14,3,1101.08,3303.24
10,5,15,3,950.03,2850.09
11,5,81,2,4322.36,8644.72
12,5,85,2,1589.36,3178.72
13,5,36,5,4051.57,20257.85
14,6,62,1,1393.18,1393.18
15,7,93,1,3815.89,3815.89
16,8,32,1,894.09,894.09
17,8,12,5,4851.05,24255.25
18,9,46,3,3329.49,9988.47
19,10,69,3,419.03,1257.09
20,10,16,1,957.85,957.85
21,10,71,5,3872.61,19363.05
22,10,90,3,2387.46,7162.38
23,10,39,2,3436.95,6873.9
24,11,83,5,1687.95,8439.75
25,11,11,5,151.89,759.45
26,11,41,1,654.09,654.09
27,12,35,4,4829.88,19319.52
28,12,87,4,3661.55,14646.2
29,13,5,1,822.29,822.29
30,13,38,1,533.48,533.48
31,13,88,5,3205.91,16029.55
32,13,72,5,1033.64,5168.2
33,13,75,1,3548.94,3548.94
34,14,28,1,2595.46,2595.46
35,14,17,5,1556.0,7780.0
36,14,70,1,4935.09,4935.09
37,15,47,1,1592.97,1592.97
38,16,81,3,4322.36,12967.08
39,16,31,2,3057.35,6114.7
40,16,53,3,4700.52,14101.56
41,16,56,4,4613.28,18453.12
42,17,90,4,2387.46,9549.84
43,17,1,1,1903.97,1903.97
44,17,31,2,3057.35,6114.7
45,18,64,3,1815.93,5447.79
46,18,98,2,2166.33,4332.66
47,19,54,2,4479.4,8958.8
48,20,74,4,4086.53,16346.12
49,21,53,1,4700.52,4700.52
50,21,85,2,1589.36,3178.72
51,21,98,4,2166.33,8665.32
52,22,59,5,273.88,1369.4
53,23,53,3,4700.52,14101.56
54,24,54,4,4479.4,17917.6
55,25,4,2,3013.36,6026.72
56,26,74,5,4086.53,20432.65
57,27,81,2,4322.36,8644.72
58,28,83,4,1687.95,6751.8
59,29,18,4,2647.54,10590.16
60,30,95,5,3866.29,19331.45
61,30,80,3,623.55,1870.65
62,30,97,1,2637.53,2637.53
63,30,55,4,3009.6,12038.4
64,31,36,1,4051.57,4051.57
65,32,5,5,822.29,4111.45
66,32,55,1,3009.6,3009.6
67,33,83,3,1687.95,5063.85
68,34,80,2,623.55,1247.1
69,35,55,4,3009.6,12038.4
70,36,72,2,1033.64,2067.28
71,36,57,5,488.04,2440.2
72,36,93,1,3815.89,3815.89
73,37,83,5,1687.95,8439.75
74,37,19,3,2188.13,6564.39
75,37,64,4,1815.93,7263.72
76,37,59,4,273.88,1095.52
77,37,31,5,3057.35,15286.75
78,38,80,3,623.55,1870.65
79,38,51,3,4849.44,14548.32
80,38,63,1,4152.25,4152.25
81,38,39,3,3436.95,10310.85
82,39,95,5,3866.29,19331.45
83,39,87,2,3661.55,7323.1
84,39,31,4,3057.35,12229.4
85,39,6,4,822.17,3288.68
86,40,35,5,4829.88,24149.4
87,40,79,5,1824.41,9122.05
88,41,21,4,3078.67,12314.68
89,41,69,3,419.03,1257.09
90,41,37,4,1557.84,6231.36
91,42,61,3,1973.95,5921.85
92,42,99,1,175.82,175.82
93,42,60,1,1660.39,1660.39
94,43,82,4,3135.33,12541.32
95,43,29,2,2982.45,5964.9
96,44,34,5,4746.98,23734.9
97,44,87,3,3661.55,10984.65
98,45,82,5,3135.33,15676.65
99,46,5,5,822.29,4111.45
100,46,65,3,1440.63,4321.89
101,47,30,2,279.93,559.86
102,47,26,1,3936.62,3936.62
103,47,81,1,4322.36,4322.36
104,48,85,5,1589.36,7946.8
105,48,60,5,1660.39,8301.95
106,48,9,3,3025.52,9076.56
107,48,16,2,957.85,1915.7
108,49,6,3,822.17,2466.51
109,49,14,4,1101.08,4404.32
110,49,92,5,3580.56,17902.8
111,50,52,1,3886.91,3886.91
112,51,26,3,3936.62,11809.86
